Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
1;22;22;4;0.416413;0.462591;0.008153;0.015034;0.015034;0;0.003381;0;0.415584;96;0.135291
6;18;18;4;0.411411;0.452859;0.005572;0.017888;0.017888;0;0.002869;0;0.542484;83;0.148078
7;22;22;4;0.407132;0.453771;0.00313;0.019385;0.019384;0;0.003325;0;0.597403;138;0.172806
10;25;25;4;0.41896;0.468674;0.003384;0.0247;0.024699;0;0.003557;0;0.5;150;0.212052
24;44;44;4;0.468376;0.53163;0.020432;0.044191;0.04419;0;0.0057;0;0.399577;378;0.383128
25;13;13;4;0.398836;0.434002;0.000886;0.010992;0.010992;0;0.002043;0;0.576923;45;0.096273
33;28;28;4;0.421538;0.473844;0.002502;0.036093;0.036092;0;0.003496;0;0.571429;216;0.297477
41;10;10;5;0.337023;0.370073;0;0.003754;0.003754;0;0.00201;0;1;45;0.039395
42;10;10;5;0.337023;0.370073;0;0.003754;0.003754;0;0.00201;0;1;45;0.039395
46;39;39;4;0.484099;0.537713;0.016005;0.047455;0.047454;0;0.004778;0;0.417004;309;0.391391
47;10;10;5;0.337023;0.370073;0;0.003754;0.003754;0;0.00201;0;1;45;0.039395
49;35;35;3;0.47487;0.524939;0.016535;0.049241;0.049241;3;0.004584;0;0.352941;210;0.354656
94;27;27;4;0.40413;0.455292;0.001233;0.039599;0.039597;4;0.003319;0;0.695157;244;0.317188
98;28;28;4;0.426128;0.477494;0.002918;0.044794;0.044792;4;0.003431;0;0.587302;222;0.344225
100;21;21;4;0.409567;0.453771;0.004725;0.015458;0.015458;0;0.003412;0;0.471429;99;0.134004
122;24;24;5;0.393113;0.444161;0.006453;0.021324;0.021323;4;0.003325;0;0.554348;153;0.178205
128;19;19;4;0.417683;0.458637;0.004607;0.0131;0.0131;0;0.003042;0;0.45614;78;0.117153
137;30;30;4;0.42284;0.477494;0.003078;0.03746;0.037459;0;0.003719;0;0.549425;239;0.310205
151;10;10;5;0.337023;0.370073;0;0.003754;0.003754;0;0.00201;0;1;45;0.039395
152;10;10;5;0.337023;0.370073;0;0.003754;0.003754;0;0.00201;0;1;45;0.039395
185;28;28;4;0.420245;0.472932;0.001948;0.031859;0.031858;0;0.003598;0;0.589947;223;0.276202
191;35;35;4;0.432859;0.492701;0.007107;0.035334;0.035334;0;0.004513;0;0.452101;269;0.309047
197;30;30;4;0.44918;0.499088;0.003631;0.053365;0.053365;1;0.003659;0;0.597701;260;0.379961
2;42;42;4;0.474048;0.534976;0.014166;0.07362;0.073621;1;0.004953;0;0.477352;411;0.511195
2а;35;35;4;0.445528;0.502433;0.002627;0.064443;0.064444;1;0.004161;0;0.611765;364;0.433969
3;49;49;4;0.496377;0.557482;0.014071;0.077904;0.077905;1;0.005692;0;0.42517;500;0.58832
13а;29;29;4;0.414523;0.471411;0.000358;0.05342;0.05342;1;0.003456;0;0.748768;304;0.382052
13;28;28;4;0.413897;0.469586;0.000329;0.051572;0.051572;1;0.003354;0;0.767196;290;0.369105
17;22;22;4;0.426128;0.470499;0.000713;0.038518;0.038518;1;0.002846;0;0.718615;166;0.260252
18а;24;24;4;0.397678;0.449209;0.000436;0.0413;0.0413;1;0.003023;0;0.735507;203;0.283125
