Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
"наличная улица";8;8;20;0.098389;0.117299;0.020269;0.000002;0.000002;0;0.002445;0;0.071429;2;0.147739
"малый проспект в.о.";4;4;19;0.103263;0.119634;0.006515;0.000003;0.000003;0;0.001205;0;0;0;0.097159
"улица кораблестроителей";5;5;21;0.089668;0.103594;0.006908;0.000001;0.000001;0;0.001775;0;0.2;2;0.070798
"новосмоленская набережная";3;3;21;0.08964;0.102249;0.001149;0;0;0;0.001062;0;0.333333;1;0.056534
"улица нахимова";2;2;21;0.089622;0.10148;0;0;0;0;0.000734;0;1;1;0.049095
"шкиперский проток";2;2;21;0.08964;0.101768;0.000017;0.000001;0.000001;0;0.000681;0;0;0;0.056253
"улица одоевского";3;3;21;0.089659;0.102633;0.001347;0;0;0;0.001048;0;0;0;0.054687
"большой проспект в.о.";9;9;19;0.108715;0.129599;0.032452;0.000007;0.000007;0;0.002594;0;0;0;0.185924
"уральская улица";5;5;21;0.095453;0.111034;0.006757;0.000001;0.000001;0;0.001592;0;0.2;2;0.093477
"гаванская улица";5;5;20;0.098166;0.113108;0.002124;0.000003;0.000003;0;0.001459;0;0;0;0.116668
"набережная макарова";3;3;18;0.114199;0.129652;0.008039;0.00001;0.00001;0;0.000967;0;0.333333;1;0.05829
8-я и 9-я линии в.о.;6;6;20;0.105155;0.122901;0.010962;0.000006;0.000006;0;0.001765;0;0;0;0.1314
"средний проспект в.о.";6;6;19;0.108389;0.125293;0.007709;0.000006;0.000006;0;0.001704;0;0;0;0.132542
"средний проспект";4;4;21;0.089492;0.101422;0.000013;0.000002;0.000002;0;0.001197;0;0;0;0.081442
"детская улица";4;4;20;0.098132;0.112147;0.00208;0.000002;0.000002;0;0.001231;0;0;0;0.091577
22-я и 23-я линии в.о.;3;3;20;0.09811;0.111378;0.000547;0.000002;0.000002;0;0.000913;0;0;0;0.0837
1-я и кадетская линии в.о.;5;5;18;0.121072;0.139803;0.047637;0.000024;0.000024;0;0.001514;0;0.1;1;0.109166
16-я и 17-я линии в.о.;2;2;20;0.098132;0.111089;0.002346;0.000001;0.000001;0;0.000749;0;0;0;0.046015
"кожевенная линия";2;2;20;0.098088;0.110609;0.000772;0.000001;0.000001;0;0.000735;0;0;0;0.046454
22-я и 23-я линии;4;4;20;0.098132;0.112147;0.000828;0.000003;0.000003;0;0.001202;0;0;0;0.094483
"косая линия в.о.";2;2;21;0.089391;0.098923;0.000002;0.000001;0.000001;0;0.000747;0;0;0;0.030318
"большой проспект в.о";2;2;21;0.095201;0.106728;0.000016;0.000001;0.000001;0;0.000678;0;0;0;0.047632
"набережная лейтенанта шмидта";3;3;19;0.11441;0.128937;0.010596;0.000019;0.000019;0;0.001026;0;0.333333;1;0.053611
"тучков мост";3;3;17;0.122839;0.139767;0.028281;0.000037;0.000037;0;0.000993;0;0.333333;1;0.062139
"университетская набережная";5;5;18;0.128217;0.145046;0.047551;0.000088;0.000088;0;0.001758;0;0.1;1;0.061294
"большой проспект п.с.";7;7;16;0.136837;0.157696;0.04929;0.000204;0.000204;1;0.002378;0;0.095238;2;0.108883
"ждановская набережная";3;3;17;0.120601;0.134823;0.001573;0.000042;0.000042;1;0.001151;0;0.333333;1;0.046967
"каменноостровский проспект";10;10;15;0.145177;0.168015;0.053117;0.00044;0.00044;1;0.003486;0;0.044444;2;0.144578
"проспект добролюбова";5;5;17;0.121022;0.136792;0.005759;0.000046;0.000046;1;0.00189;0;0.1;1;0.058541
"площадь льва толстого";2;2;16;0.129655;0.14459;0;0.000102;0.000102;1;0.000758;0;1;1;0.058611
