Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;clustering;triangles;eigencentrality;componentnumber
"наличная улица";76;76;5;0.366132;0.420165;0.005744;0.067474;0.067475;0;0.00219;0.401081;1113;0.361232;0
"малый проспект в.о.";64;64;5;0.358116;0.407478;0.002952;0.059731;0.059731;0;0.00188;0.436508;880;0.313252;0
"гаванская улица";55;55;5;0.360799;0.406132;0.002599;0.057276;0.057277;0;0.001619;0.489562;727;0.298609;0
"большой проспект в.о.";52;52;5;0.346939;0.392695;0.001573;0.044243;0.044243;0;0.001518;0.576471;735;0.242848;0
"детская улица";48;48;5;0.346661;0.391542;0.00108;0.043964;0.043964;0;0.001441;0.594858;671;0.236085;0
"средний проспект в.о.";58;58;4;0.38465;0.428874;0.001838;0.069232;0.069232;0;0.00161;0.49812;795;0.361469;0
22-я и 23-я линии;36;36;5;0.33079;0.367705;0.000566;0.032615;0.032615;0;0.001118;0.714286;450;0.176569;0
"большой проспект в.о";25;25;5;0.329407;0.361361;0;0.027256;0.027256;0;0.000802;1;300;0.145467;0
8-я и 9-я линии в.о.;73;73;4;0.390189;0.441561;0.009247;0.073332;0.073332;0;0.002125;0.395358;1039;0.38311;0
1-я и кадетская линии в.о.;49;49;5;0.3599;0.402672;0.001403;0.055235;0.055235;0;0.001452;0.537415;632;0.285825;0
"тучков мост";39;39;5;0.331169;0.369435;0.000325;0.035495;0.035495;0;0.001182;0.716599;531;0.192152;0
"большой проспект п.с.";71;71;5;0.375;0.428316;0.004061;0.069712;0.069713;0;0.001999;0.431056;1041;0.378211;0
"ждановская набережная";41;41;5;0.361401;0.403422;0.000517;0.048057;0.048057;0;0.001214;0.653659;536;0.253389;0
"малый проспект п.с.";41;41;5;0.361401;0.403422;0.000517;0.048057;0.048057;0;0.001214;0.653659;536;0.253389;0
"пионерская улица";41;41;5;0.361401;0.403422;0.000517;0.048057;0.048057;0;0.001214;0.653659;536;0.253389;0
"чкаловский проспект";41;41;5;0.361401;0.403422;0.000517;0.048057;0.048057;0;0.001214;0.653659;536;0.253389;0
"улица ленина";35;35;4;0.373868;0.408401;0.005073;0.034469;0.03447;0;0.001115;0.579832;345;0.194671;0
"большая пушкарская улица";58;58;5;0.34107;0.387601;0.001631;0.04863;0.04863;0;0.0017;0.484574;801;0.26728;0
"каменноостровский проспект";113;113;4;0.426044;0.486255;0.021132;0.103598;0.103599;0;0.003159;0.270753;1683;0.562959;0
"силин мост";47;47;5;0.375487;0.416359;0.000781;0.055556;0.055557;0;0.001375;0.595745;644;0.287922;0
