наличная улица, малый проспект в.о.
наличная улица, улица кораблестроителей
наличная улица, новосмоленская набережная
наличная улица, улица нахимова
наличная улица, шкиперский проток
наличная улица, улица одоевского
наличная улица, большой проспект в.о.
наличная улица, уральская улица
малый проспект в.о., гаванская улица
малый проспект в.о., набережная макарова
малый проспект в.о., 8-я и 9-я линии в.о.
гаванская улица, большой проспект в.о.
гаванская улица, средний проспект в.о.
гаванская улица, шкиперский проток
гаванская улица, средний проспект
большой проспект в.о., детская улица
большой проспект в.о., 22-я и 23-я линии в.о.
большой проспект в.о., 1-я и кадетская линии в.о.
большой проспект в.о., 8-я и 9-я линии в.о.
большой проспект в.о., 16-я и 17-я линии в.о.
большой проспект в.о., кожевенная линия
большой проспект в.о., 22-я и 23-я линии
детская улица, средний проспект в.о.
детская улица, средний проспект
детская улица, косая линия в.о.
средний проспект в.о., 22-я и 23-я линии
средний проспект в.о., 8-я и 9-я линии в.о.
средний проспект в.о., 1-я и кадетская линии в.о.
средний проспект в.о., 22-я и 23-я линии в.о.
22-я и 23-я линии, большой проспект в.о
22-я и 23-я линии, средний проспект
большой проспект в.о, 8-я и 9-я линии в.о.
8-я и 9-я линии в.о., набережная лейтенанта шмидта
8-я и 9-я линии в.о., уральская улица
1-я и кадетская линии в.о., тучков мост
1-я и кадетская линии в.о., университетская набережная
1-я и кадетская линии в.о., набережная макарова
тучков мост, большой проспект п.с.
тучков мост, набережная макарова
большой проспект п.с., ждановская набережная
большой проспект п.с., каменноостровский проспект
большой проспект п.с., проспект добролюбова
большой проспект п.с., площадь льва толстого
большой проспект п.с., 
большой проспект п.с., проспект медиков
большой проспект п.с., рыбацкая улица
ждановская набережная, малый проспект п.с.
ждановская набережная, проспект добролюбова
малый проспект п.с., пионерская улица
пионерская улица, чкаловский проспект
чкаловский проспект, улица ленина
чкаловский проспект, левашовский проспект
улица ленина, большая пушкарская улица
улица ленина, автозаводская улица
улица ленина, 3-й бадаевский проезд
большая пушкарская улица, каменноостровский проспект
большая пушкарская улица, введенская улица
большая пушкарская улица, ординарная улица
большая пушкарская улица, переулок нестерова
каменноостровский проспект, силин мост
каменноостровский проспект, ушаковский мост
каменноостровский проспект, площадь шевченко
каменноостровский проспект, каменноостровский мост
каменноостровский проспект, троицкий мост
каменноостровский проспект, улица куйбышева
каменноостровский проспект, площадь льва толстого
каменноостровский проспект, левашовский проспект
ушаковский мост, улица академика крылова
улица академика крылова, торжковская улица
улица академика крылова, чернореченский мост
торжковская улица, набережная черной речки
торжковская улица, чернореченский мост
торжковская улица, белоостровская улица
торжковская улица, набережная чёрной речки
торжковская улица, новосибирская улица
набережная черной речки, ланское шоссе
ланское шоссе, новосибирская улица
ланское шоссе, новороссийская улица
ланское шоссе, проспект энгельса
новосибирская улица, улица матроса железняка
проспект народного ополчения, улица партизана германа
проспект народного ополчения, улица солдата корзуна
проспект народного ополчения, проспект народного ополчения
проспект народного ополчения, улица подводника кузьмина
проспект народного ополчения, счастливая улица
проспект народного ополчения, дачный проспект
проспект народного ополчения, улица тамбасова
проспект народного ополчения, улица танкиста хрустицкого
проспект народного ополчения, улица пограничника гарькавого
улица партизана германа, улица доблести
улица партизана германа, улица чекистов
улица партизана германа, проспект ветеранов
улица доблести, ленинский проспект
улица доблести, улица маршала захарова
улица доблести, улица маршала казакова
улица доблести, улица рихарда зорге
улица доблести, петергофское шоссе
ленинский проспект, проспект маршала жукова
ленинский проспект, проспект героев
ленинский проспект, кубинская улица
ленинский проспект, площадь конституции
ленинский проспект, московский проспект
ленинский проспект, варшавская улица
ленинский проспект, бульвар новаторов
ленинский проспект, проспект кузнецова
ленинский проспект, кронштадтская площадь
ленинский проспект, проспект стачек
ленинский проспект, улица рихарда зорге
ленинский проспект, улица зины портновой
проспект маршала жукова, улица зенитчиков
проспект маршала жукова, улица маршала казакова
проспект маршала жукова, проспект стачек
проспект маршала жукова, таллинское шоссе
проспект маршала жукова, проспект ветеранов
проспект маршала жукова, улица маршала захарова
проспект маршала жукова, брестский бульвар
проспект маршала жукова, улица солдата корзуна
проспект маршала жукова, петергофское шоссе
улица зенитчиков, проспект стачек
проспект стачек, старо-петергофский проспект
проспект стачек, улица маршала казакова
проспект стачек, комсомольская площадь
проспект стачек, улица морской пехоты
проспект стачек, перевалочная улица
проспект стачек, кронштадтская площадь
проспект стачек, нарвский проспект
проспект стачек, корабельная улица
проспект стачек, улица васи алексеева
проспект стачек, трамвайный проспект
проспект стачек, петергофское шоссе
старо-петергофский проспект, ново-калинкин мост
старо-петергофский проспект, площадь репина
старо-петергофский проспект, нарвский проспект
старо-петергофский проспект, рижский проспект
старо-петергофский проспект, набережная обводного канала
старо-петергофский проспект, садовая улица
площадь репина, проспект римского-корсакова
площадь репина, садовая улица
проспект римского-корсакова, английский проспект
английский проспект, улица декабристов
улица декабристов, театральная площадь
улица декабристов, улица глинки
улица декабристов, лермонтовский проспект
улица декабристов, мост декабристов
театральная площадь, улица глинки
яхтенная площадь, тулонская аллея
тулонская аллея, ленинградская улица
ленинградская улица, интернациональная улица
ленинградская улица, улица мануильского
ленинградская улица, советская улица
ленинградская улица, дорога в рентгено
ленинградская улица, песочное шоссе
ленинградская улица, школьная улица
ленинградская улица, оранжерейная улица
ленинградская улица, софийский бульвар
ленинградская улица, сельская улица
ленинградская улица, водопадная улица
ленинградская улица, железнодорожная улица
ленинградская улица, петербургское шоссе
ленинградская улица, привокзальная площадь
ленинградская улица, пушкин
ленинградская улица, автомобильная дорога а121
ленинградская улица, проспект героев
ленинградская улица, комсомольская улица
интернациональная улица, советская улица
интернациональная улица, улица мануильского
интернациональная улица, улица аммермана
